source_row,item_code,source_name,source_category,source_jp_size,quantity,mapped_family,age,candidate_season,candidate_brand,candidate_size,tier_status,store_status,bsl_status,importable,blocking_reason
13,L45422000110,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 110,子供スキー,,9,SKI,KIDS,2026/27,SALOMON,110 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
14,L45422000110,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 110,子供スキー,,6,SKI,KIDS,2026/27,SALOMON,110 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
15,L45422000120,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,子供スキー,,10,SKI,KIDS,2026/27,SALOMON,120 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
16,L45422000120,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,子供スキー,,4,SKI,KIDS,2026/27,SALOMON,120 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
17,L45422000120,SKI SET L EQUIPE Jr S + C5 GW J75 Ra 120,子供スキー,,1,SKI,KIDS,2026/27,SALOMON,120 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
18,L45422700070,SKI SET L QST V1 Jr XS + C5 GW J75 70,子供スキー,,3,SKI,KIDS,2026/27,SALOMON,70 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
19,L45422700080,SKI SET L QST V1 Jr XS + C5 GW J75 80,子供スキー,,5,SKI,KIDS,2026/27,SALOMON,80 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
20,L45422700090,SKI SET L QST V1 Jr XS + C5 GW J75 90,子供スキー,,5,SKI,KIDS,2026/27,SALOMON,90 cm,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
21,L47944000,ALP. BOOTS S/PRO DELTA R80 W GW Black/L,大人スキーブーツ,22/22.5,8,SKI_BOOT,ADULT,2026/27,SALOMON,22/22.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
22,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,23/23.5,12,SKI_BOOT,ADULT,2026/27,SALOMON,23/23.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
23,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,24/24.5,16,SKI_BOOT,ADULT,2026/27,SALOMON,24/24.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
24,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,25/25.5,20,SKI_BOOT,ADULT,2026/27,SALOMON,25/25.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
25,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,26/26.5,24,SKI_BOOT,ADULT,2026/27,SALOMON,26/26.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
26,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,27/27.5,24,SKI_BOOT,ADULT,2026/27,SALOMON,27/27.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
27,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,28/28.5,20,SKI_BOOT,ADULT,2026/27,SALOMON,28/28.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
28,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,29/29.5,8,SKI_BOOT,ADULT,2026/27,SALOMON,29/29.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
29,L47949700,ALP. BOOTS SENSE RT GW Black/Black/White,大人スキーブーツ,30/30.5,4,SKI_BOOT,ADULT,2026/27,SALOMON,30/30.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
30,L47354400,ALP. BOOTS T3 RT Copen,子供スキーブーツ,22/22.5,15,SKI_BOOT,KIDS,2026/27,SALOMON,22/22.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
31,L47354400,ALP. BOOTS T3 RT Copen,子供スキーブーツ,23/23.5,15,SKI_BOOT,KIDS,2026/27,SALOMON,23/23.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
32,L47354400,ALP. BOOTS T3 RT Copen,子供スキーブーツ,24/24.5,15,SKI_BOOT,KIDS,2026/27,SALOMON,24/24.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
33,L47354600,ALP. BOOTS T2 RT Copen,子供スキーブーツ,20,12,SKI_BOOT,KIDS,2026/27,SALOMON,20,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
34,L47354600,ALP. BOOTS T2 RT Copen,子供スキーブーツ,21,12,SKI_BOOT,KIDS,2026/27,SALOMON,21,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
35,L47354600,ALP. BOOTS T2 RT Copen,子供スキーブーツ,18,12,SKI_BOOT,KIDS,2026/27,SALOMON,18,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
36,L47354600,ALP. BOOTS T2 RT Copen,子供スキーブーツ,19,12,SKI_BOOT,KIDS,2026/27,SALOMON,19,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
37,L47353200,ALP. BOOTS T1 Copen,子供スキーブーツ,15,3,SKI_BOOT,KIDS,2026/27,SALOMON,15,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
38,L47353200,ALP. BOOTS T1 Copen,子供スキーブーツ,16,5,SKI_BOOT,KIDS,2026/27,SALOMON,16,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
39,L47353200,ALP. BOOTS T1 Copen,子供スキーブーツ,17,5,SKI_BOOT,KIDS,2026/27,SALOMON,17,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,UNVERIFIED_NULL,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
40,L39135100,POLES RENTAL ANODIZED ADULT ALU,スキーポール,110,30,POLE,ADULT,2026/27,SALOMON,110,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
41,L39135100,POLES RENTAL ANODIZED ADULT ALU,スキーポール,115,30,POLE,ADULT,2026/27,SALOMON,115,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
42,L39135100,POLES RENTAL ANODIZED ADULT ALU,スキーポール,120,30,POLE,ADULT,2026/27,SALOMON,120,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
43,L39135100,POLES RENTAL ANODIZED ADULT ALU,スキーポール,125,20,POLE,ADULT,2026/27,SALOMON,125,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
44,L39135100,POLES RENTAL ANODIZED ADULT ALU,スキーポール,130,10,POLE,ADULT,2026/27,SALOMON,130,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
45,L39135300,POLES RENTAL ANODIZED JR ALU,スキーポール,75,20,POLE,ADULT,2026/27,SALOMON,75,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
46,L39135300,POLES RENTAL ANODIZED JR ALU,スキーポール,85,20,POLE,ADULT,2026/27,SALOMON,85,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
47,L39135300,POLES RENTAL ANODIZED JR ALU,スキーポール,95,20,POLE,ADULT,2026/27,SALOMON,95,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
48,L39135300,POLES RENTAL ANODIZED JR ALU,スキーポール,105,40,POLE,ADULT,2026/27,SALOMON,105,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
49,L45507800,HELMET BRIGADE RTL Black,ヘルメット,L 5962,40,UNSUPPORTED_HELMET_PENDING_MODEL,ADULT,2026/27,SALOMON,L 5962,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_HELMET_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
50,L45507800,HELMET BRIGADE RTL Black,ヘルメット,M 5659,52,UNSUPPORTED_HELMET_PENDING_MODEL,ADULT,2026/27,SALOMON,M 5659,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_HELMET_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
51,L45507800,HELMET BRIGADE RTL Black,ヘルメット,S 5356,32,UNSUPPORTED_HELMET_PENDING_MODEL,ADULT,2026/27,SALOMON,S 5356,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_HELMET_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
52,L41158100,HELMET PIONEER LT Black Silver,ヘルメット,XL 6264,20,UNSUPPORTED_HELMET_PENDING_MODEL,ADULT,2026/27,SALOMON,XL 6264,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_HELMET_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
53,L47663400,BOARD WILD CARD,大人ボード,145,20,SNOWBOARD,ADULT,2026/27,SALOMON,145,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
54,L47663400,BOARD WILD CARD,大人ボード,150,30,SNOWBOARD,ADULT,2026/27,SALOMON,150,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
55,L47663400,BOARD WILD CARD,大人ボード,155,30,SNOWBOARD,ADULT,2026/27,SALOMON,155,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
56,L47663400,BOARD WILD CARD,大人ボード,160,20,SNOWBOARD,ADULT,2026/27,SALOMON,160,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
57,L47663400,BOARD WILD CARD,大人ボード,165,10,SNOWBOARD,ADULT,2026/27,SALOMON,165,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
58,L47663700,BOARD LIBERTY,大人ボード,135,10,SNOWBOARD,ADULT,2026/27,SALOMON,135,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
59,L47663700,BOARD LIBERTY,大人ボード,140,10,SNOWBOARD,ADULT,2026/27,SALOMON,140,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
60,L45475900,SNOW BOOTS FACTION RTL BOA BLACK/BLUE,大人ボードブーツ,22.5,5,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,22.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
61,L45475900,SNOW BOOTS FACTION RTL BOA BLACK/BLUE,大人ボードブーツ,23.5,10,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,23.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
62,L45475900,SNOW BOOTS FACTION RTL BOA BLACK/BLUE,大人ボードブーツ,24.5,15,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,24.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
63,L45476000,SNOW BOOTS FACTION RTL BOA BLACK/RED,大人ボードブーツ,25.5,25,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,25.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
64,L45476000,SNOW BOOTS FACTION RTL BOA BLACK/RED,大人ボードブーツ,26.5,25,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,26.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
65,L45476000,SNOW BOOTS FACTION RTL BOA BLACK/RED,大人ボードブーツ,27.5,25,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,27.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
66,L45476100,SNOW BOOTS FACTION RTL BOA BLACK/YELLOW,大人ボードブーツ,28.5,20,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,28.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
67,L45476100,SNOW BOOTS FACTION RTL BOA BLACK/YELLOW,大人ボードブーツ,29.5,10,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,29.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
68,L45476100,SNOW BOOTS FACTION RTL BOA BLACK/YELLOW,大人ボードブーツ,30.5,5,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,30.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
69,L45476100,SNOW BOOTS FACTION RTL BOA BLACK/YELLOW,大人ボードブーツ,31.5,3,SNOWBOARD_BOOT,ADULT,2026/27,SALOMON,31.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
70,L47668600,BOARD BIND. UNITE (4 IN 1 PACK) Black,ボードバイン,S,32,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,S,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
71,L47668600,BOARD BIND. UNITE (4 IN 1 PACK) Black,ボードバイン,M,76,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,M,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
72,L47668600,BOARD BIND. UNITE (4 IN 1 PACK) Black,ボードバイン,L,36,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,L,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
73,L47663300,BOARD EL CAPITAN,子供ボード,100,15,SNOWBOARD,KIDS,2026/27,SALOMON,100,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
74,L47663300,BOARD EL CAPITAN,子供ボード,110,15,SNOWBOARD,KIDS,2026/27,SALOMON,110,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
75,L47663300,BOARD EL CAPITAN,子供ボード,120,20,SNOWBOARD,KIDS,2026/27,SALOMON,120,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
76,L47663300,BOARD EL CAPITAN,子供ボード,130,20,SNOWBOARD,KIDS,2026/27,SALOMON,130,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
