source,family,age,source_size,booking_size,size_mapping_status,quantity,unit_note,provenance
SOURCE_A,SKI_BOOT,ADULT,28/28.5,28/28.5,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 27
SOURCE_A,SKI_BOOT,ADULT,29/29.5,29/29.5,MAPPED,8,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 28
SOURCE_A,SKI_BOOT,ADULT,30/30.5,30/30.5,MAPPED,4,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 29
SOURCE_A,SKI_BOOT,KIDS,22/22.5,22/22.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 30
SOURCE_A,SKI_BOOT,KIDS,23/23.5,23/23.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 31
SOURCE_A,SKI_BOOT,KIDS,24/24.5,24/24.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 32
SOURCE_A,SKI_BOOT,KIDS,20,20,MAPPED,12,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 33
SOURCE_A,SKI_BOOT,KIDS,21,21,MAPPED,12,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 34
SOURCE_A,SKI_BOOT,KIDS,18,18,MAPPED,12,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 35
SOURCE_A,SKI_BOOT,KIDS,19,19,MAPPED,12,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 36
SOURCE_A,SKI_BOOT,KIDS,15,15,MAPPED,3,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 37
SOURCE_A,SKI_BOOT,KIDS,16,16,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 38
SOURCE_A,SKI_BOOT,KIDS,17,17,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 39
SOURCE_A,SNOWBOARD,ADULT,145,145,MAPPED,20,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 53
SOURCE_A,SNOWBOARD,ADULT,150,150,MAPPED,30,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 54
SOURCE_A,SNOWBOARD,ADULT,155,155,MAPPED,30,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 55
SOURCE_A,SNOWBOARD,ADULT,160,160,MAPPED,20,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 56
SOURCE_A,SNOWBOARD,ADULT,165,165,MAPPED,10,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 57
SOURCE_A,SNOWBOARD,ADULT,135,135,MAPPED,10,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 58
SOURCE_A,SNOWBOARD,ADULT,140,140,MAPPED,10,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 59
SOURCE_A,SNOWBOARD_BOOT,ADULT,22.5,22.5,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 60
SOURCE_A,SNOWBOARD_BOOT,ADULT,23.5,23.5,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 61
SOURCE_A,SNOWBOARD_BOOT,ADULT,24.5,24.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 62
SOURCE_A,SNOWBOARD_BOOT,ADULT,25.5,25.5,MAPPED,25,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 63
SOURCE_A,SNOWBOARD_BOOT,ADULT,26.5,26.5,MAPPED,25,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 64
SOURCE_A,SNOWBOARD_BOOT,ADULT,27.5,27.5,MAPPED,25,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 65
SOURCE_A,SNOWBOARD_BOOT,ADULT,28.5,28.5,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 66
SOURCE_A,SNOWBOARD_BOOT,ADULT,29.5,29.5,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 67
SOURCE_A,SNOWBOARD_BOOT,ADULT,30.5,30.5,MAPPED,5,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 68
SOURCE_A,SNOWBOARD_BOOT,ADULT,31.5,31.5,MAPPED,3,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 69
SOURCE_A,SNOWBOARD,KIDS,100,100,MAPPED,15,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 73
SOURCE_A,SNOWBOARD,KIDS,110,110,MAPPED,15,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 74
SOURCE_A,SNOWBOARD,KIDS,120,120,MAPPED,20,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 75
SOURCE_A,SNOWBOARD,KIDS,130,130,MAPPED,20,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 76
SOURCE_A,SNOWBOARD_BOOT,KIDS,19.5,19.5,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 77
SOURCE_A,SNOWBOARD_BOOT,KIDS,20.5,20.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 78
SOURCE_A,SNOWBOARD_BOOT,KIDS,21.5,21.5,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 79
SOURCE_A,SNOWBOARD_BOOT,KIDS,22.5,22.5,MAPPED,20,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 80
SOURCE_A,SNOWBOARD_BOOT,KIDS,23.5,23.5,MAPPED,15,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 81
SOURCE_A,SNOWBOARD_BOOT,KIDS,24.5,24.5,MAPPED,10,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 82
SOURCE_A,SNOWBOARD,KIDS,90,90,MAPPED,5,ASSET_BOARD,PROVISIONAL_CATALOG_MAPPING.csv rows 84
SOURCE_A,SNOWBOARD_BOOT,KIDS,17,17,MAPPED,4,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 85
SOURCE_A,SNOWBOARD_BOOT,KIDS,18,18,MAPPED,4,ASSET_PAIR,PROVISIONAL_CATALOG_MAPPING.csv rows 86
