source,family,age,source_size,booking_size,size_mapping_status,quantity,unit_note,provenance
SOURCE_B,SKI_BOOT,KIDS,15X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,16X,,BOOKING_SIZE_MAPPING_REQUIRED,4,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,17X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,18X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,19X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,20X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,21X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,22X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,23X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SKI_BOOT,KIDS,24X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,kids ski boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD,ADULT,135 cm,135 cm,MAPPED,3,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,140 cm,140 cm,MAPPED,7,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,145 cm,145 cm,MAPPED,5,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,150 cm,150 cm,MAPPED,7,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,155 cm,155 cm,MAPPED,5,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,160 cm,160 cm,MAPPED,7,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,ADULT,165 cm,165 cm,MAPPED,3,ASSET_BOARD,adult snowboard length aggregate
SOURCE_B,SNOWBOARD,KIDS,90 cm,90 cm,MAPPED,2,ASSET_BOARD,kids snowboard length aggregate
SOURCE_B,SNOWBOARD,KIDS,100 cm,100 cm,MAPPED,3,ASSET_BOARD,kids snowboard length aggregate
SOURCE_B,SNOWBOARD,KIDS,110 cm,110 cm,MAPPED,3,ASSET_BOARD,kids snowboard length aggregate
SOURCE_B,SNOWBOARD,KIDS,120 cm,120 cm,MAPPED,5,ASSET_BOARD,kids snowboard length aggregate
SOURCE_B,SNOWBOARD,KIDS,130 cm,130 cm,MAPPED,5,ASSET_BOARD,kids snowboard length aggregate
SOURCE_B,SNOWBOARD_BOOT,ADULT,22X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,23X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,24X,,BOOKING_SIZE_MAPPING_REQUIRED,4,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,25X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,26X,,BOOKING_SIZE_MAPPING_REQUIRED,6,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,27X,,BOOKING_SIZE_MAPPING_REQUIRED,6,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,28X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,29X,,BOOKING_SIZE_MAPPING_REQUIRED,3,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,30X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,ADULT,31X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,adult snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,17X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,18X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,19X,,BOOKING_SIZE_MAPPING_REQUIRED,2,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,20X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,21X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,22X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,23X,,BOOKING_SIZE_MAPPING_REQUIRED,5,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,SNOWBOARD_BOOT,KIDS,24X,,BOOKING_SIZE_MAPPING_REQUIRED,4,ASSET_PAIR,kids snowboard boot X-token aggregate; no reviewed alias exists for this token format
SOURCE_B,WEAR_JACKET,ADULT,XS,XS,MAPPED,10,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,ADULT,S,S,MAPPED,15,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,ADULT,M,M,MAPPED,20,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,ADULT,L,L,MAPPED,20,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,ADULT,XL,XL,MAPPED,15,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,ADULT,2XL,2XL,MAPPED,5,PIECE_QUANTITY,adult jacket size aggregate
SOURCE_B,WEAR_JACKET,KIDS,XS,XS,MAPPED,8,PIECE_QUANTITY,kids jacket size aggregate
SOURCE_B,WEAR_JACKET,KIDS,S,S,MAPPED,6,PIECE_QUANTITY,kids jacket size aggregate
SOURCE_B,WEAR_JACKET,KIDS,M,M,MAPPED,8,PIECE_QUANTITY,kids jacket size aggregate
SOURCE_B,WEAR_JACKET,KIDS,L,L,MAPPED,8,PIECE_QUANTITY,kids jacket size aggregate
SOURCE_B,WEAR_PANTS,ADULT,XS,XS,MAPPED,10,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,ADULT,S,S,MAPPED,15,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,ADULT,M,M,MAPPED,20,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,ADULT,L,L,MAPPED,20,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,ADULT,XL,XL,MAPPED,15,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,ADULT,2XL,2XL,MAPPED,5,PIECE_QUANTITY,adult pants size aggregate
SOURCE_B,WEAR_PANTS,KIDS,XS,XS,MAPPED,8,PIECE_QUANTITY,kids pants size aggregate
SOURCE_B,WEAR_PANTS,KIDS,S,S,MAPPED,6,PIECE_QUANTITY,kids pants size aggregate
SOURCE_B,WEAR_PANTS,KIDS,M,M,MAPPED,8,PIECE_QUANTITY,kids pants size aggregate
SOURCE_B,WEAR_PANTS,KIDS,L,L,MAPPED,8,PIECE_QUANTITY,kids pants size aggregate
