equipment_product_key,duration,label,equipment_jpy,wear_alone_jpy,wear_bundle_adjustment_jpy,wear_addon_jpy,combined_total_jpy,early_discount_jpy,combined_early_total_jpy,tax_status
SNOWBOARD_SET_KIDS_REGULAR,HALF_DAY_AM,午前半日,3000,2000,400,1600,4600,230,4370,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,HALF_DAY_PM,午後半日,3000,2000,400,1600,4600,230,4370,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_1,1日,4000,3500,700,2800,6800,340,6460,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_2,2日,7400,6000,1200,4800,12200,610,11590,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_3,3日,10400,8000,1600,6400,16800,840,15960,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_4,4日,13300,10000,2000,8000,21300,1065,20235,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_5,5日,15800,11500,2300,9200,25000,1250,23750,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_6,6日,18200,13000,2600,10400,28600,1430,27170,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_7,7日,20400,14500,2900,11600,32000,1600,30400,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_8,8日,22400,16000,3200,12800,35200,1760,33440,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_9,9日,24100,17000,3400,13600,37700,1885,35815,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
SNOWBOARD_SET_KIDS_REGULAR,DAY_10,10日,25600,18000,3600,14400,40000,2000,38000,COMBINED_GROSS_ASSUMPTION_UNCONFIRMED
